ID,City,City_Development_Index,Gender,Education,Major,Experience,Company_Size,Company_Type,Previous_Job,Training_Hours,Target
8571,City_No_21,0.624,Male,Graduate,STEM,2,10/49,NGO,2,101,0
16303,City_No_114,0.926,Male,Masters,STEM,6,50-99,,1,46,0
20576,City_No_97,0.925,Male,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0
32966,City_No_21,0.624,Male,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1
21199,City_No_90,0.698,,Graduate,STEM,7,<10,NGO,1,90,0
18819,City_No_50,0.8959999999999999,Male,Graduate,STEM,9,<10,Pvt Ltd,4,59,0
14199,City_No_160,0.92,Male,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0
7666,City_No_21,0.624,Female,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0
13915,City_No_16,0.91,Male,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1
10555,City_No_173,0.878,Male,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0
16040,City_No_103,0.92,Male,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0
32826,City_No_138,0.836,Male,Masters,STEM,7,,,1,45,0
13253,City_No_82,0.693,Male,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0
15637,City_No_67,0.855,Male,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0
28074,City_No_103,0.92,Female,Graduate,STEM,>20,100-500,NGO,>4,17,0
23012,City_No_103,0.92,Female,Masters,STEM,15,50-99,Pvt Ltd,1,51,0
16110,City_No_103,0.92,Female,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1
3921,City_No_36,0.893,,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0
24530,City_No_114,0.926,Male,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0
1924,City_No_102,0.804,,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0
32776,City_No_64,0.6659999999999999,Male,Graduate,STEM,20,,,4,290,0
1907,City_No_102,0.804,Male,High School,,2,<10,NGO,never,145,0
23947,City_No_103,0.92,,Phd,STEM,,,,,70,0
3116,City_No_21,0.624,Male,,,3,,,1,24,0
24829,City_No_103,0.92,Male,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1
30488,City_No_11,0.55,,Graduate,STEM,2,,,1,20,0
1265,City_No_103,0.92,Male,Graduate,STEM,10,<10,Funded Startup,1,76,0
22098,City_No_90,0.698,Female,Masters,STEM,5,,,4,21,1
13342,City_No_21,0.624,Female,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0
24608,City_No_160,0.92,Male,Graduate,STEM,9,<10,Pvt Ltd,2,15,0
20081,City_No_57,0.866,Male,Graduate,STEM,>20,,,>4,156,0
24796,City_No_103,0.92,Male,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0
7777,City_No_114,0.926,,Masters,STEM,>20,,,never,120,0
22718,City_No_157,0.769,,Graduate,No Major,14,10000+,,>4,47,0
1261,City_No_73,0.754,Male,Graduate,STEM,12,,,2,100,1
3396,City_No_67,0.855,Male,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0
4283,City_No_103,0.92,Male,High School,,4,,,never,52,0
18998,City_No_114,0.926,,High School,,9,10/49,,4,39,0
2003,City_No_103,0.92,Male,High School,,4,,,1,112,1
31786,City_No_103,0.92,Male,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0
8241,City_No_16,0.91,,,,11,,,1,4,0
12154,City_No_16,0.91,,Masters,Arts,>20,1000-4999,NGO,>4,55,0
23455,City_No_21,0.624,Male,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1
19882,City_No_16,0.91,Male,Graduate,STEM,15,,,>4,72,0
28817,City_No_89,0.925,Male,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1
4656,City_No_114,0.926,Male,High School,,6,,Pvt Ltd,never,28,0
7280,City_No_103,0.92,Male,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0
16903,City_No_103,0.92,Male,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0
13333,City_No_75,0.939,,Graduate,STEM,>20,,,never,326,0
26241,City_No_103,0.92,Male,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0
12381,City_No_102,0.804,,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0
4064,City_No_160,0.92,,Graduate,STEM,18,,,1,198,1
32092,City_No_103,0.92,Female,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0
3766,City_No_150,0.698,Male,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0
30496,City_No_103,0.92,Male,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0
7189,City_No_73,0.754,Male,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0
29497,City_No_103,0.92,Male,Masters,STEM,>20,10000+,Public Sector,>4,87,1
31593,City_No_67,0.855,Male,Masters,STEM,10,100-500,Pvt Ltd,4,114,0
12384,City_No_70,0.698,,,,>20,,,>4,33,0
11986,City_No_90,0.698,Male,Masters,STEM,5,<10,Early Stage Startup,1,15,0
31033,City_No_16,0.91,,High School,,3,,,1,8,0
14835,City_No_173,0.878,Female,High School,,2,100-500,NGO,1,22,0
3728,City_No_103,0.92,Male,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0
3024,City_No_98,0.949,Male,Graduate,STEM,>20,<10,Public Sector,1,246,0
23508,City_No_103,0.92,Male,Masters,STEM,9,10/49,Pvt Ltd,1,22,0
29457,City_No_103,0.92,Male,Masters,STEM,>20,<10,Funded Startup,1,81,0
12297,City_No_175,0.7759999999999999,,Graduate,STEM,4,10/49,Funded Startup,1,11,0
27708,City_No_94,0.698,Male,Graduate,STEM,5,5000-9999,,,24,1
3065,City_No_103,0.92,Male,Graduate,STEM,>20,100-500,Funded Startup,1,50,0
29226,City_No_104,0.924,Male,High School,,6,,,never,15,0
5493,City_No_28,0.939,Male,Masters,STEM,>20,10/49,Pvt Ltd,>4,31,0
2891,City_No_114,0.926,Male,Masters,STEM,>20,50-99,Pvt Ltd,never,84,0
32509,City_No_136,0.897,Male,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0
31841,City_No_21,0.624,,Graduate,STEM,10,10/49,Pvt Ltd,>4,105,1
907,City_No_103,0.92,Female,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0
29526,City_No_115,0.789,Male,Graduate,STEM,14,10/49,Pvt Ltd,>4,42,1
10956,City_No_94,0.698,Male,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0
26099,City_No_103,0.92,Male,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0
26163,City_No_21,0.624,Male,Masters,STEM,2,,,never,8,0
4120,City_No_16,0.91,Male,Masters,STEM,13,,,3,17,1
7335,City_No_83,0.923,Male,High School,,1,,,1,33,0
706,City_No_16,0.91,Male,Masters,STEM,4,100-500,Funded Startup,never,38,0
9890,City_No_103,0.92,Male,Graduate,Humanities,14,<10,Early Stage Startup,2,178,0
32683,City_No_160,0.92,Male,Graduate,STEM,15,50-99,Pvt Ltd,1,11,0
27104,City_No_36,0.893,Male,High School,,>20,,,never,87,0
7731,City_No_65,0.802,Male,Graduate,STEM,13,,,never,84,0
31943,City_No_71,0.884,Male,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,0
22899,City_No_100,0.887,,Masters,STEM,9,100-500,Pvt Ltd,1,31,1
33339,City_No_21,0.624,Male,Graduate,STEM,2,500-999,Public Sector,1,39,0
20866,City_No_59,0.775,,Graduate,STEM,7,10/49,Pvt Ltd,1,12,0
21634,City_No_21,0.624,,Graduate,STEM,5,10000+,Pvt Ltd,1,50,0
29529,City_No_165,0.903,Male,Graduate,STEM,3,100-500,Pvt Ltd,1,55,1
4478,City_No_11,0.55,,Graduate,STEM,5,50-99,Pvt Ltd,,7,1
32095,City_No_103,0.92,Male,Masters,Humanities,2,50-99,Early Stage Startup,1,104,0
18272,City_No_160,0.92,,Graduate,Business Degree,>20,,,>4,90,1
30098,City_No_103,0.92,Male,Masters,Other,>20,100-500,Pvt Ltd,>4,8,0
23825,City_No_21,0.624,Male,Graduate,STEM,2,,,never,102,0
7672,City_No_21,0.624,,Masters,STEM,<1,10/49,Pvt Ltd,1,202,1
5633,City_No_145,0.555,,Graduate,STEM,4,100-500,Pvt Ltd,1,22,0
30695,City_No_21,0.624,Male,Graduate,STEM,3,,Pvt Ltd,never,42,0
5573,City_No_160,0.92,,Primary School,,4,,Pvt Ltd,never,50,0
24936,City_No_21,0.624,Male,Masters,STEM,3,50-99,Funded Startup,1,88,0
397,City_No_73,0.754,,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,0
31602,City_No_103,0.92,Male,Masters,STEM,>20,10000+,Pvt Ltd,1,7,0
5278,City_No_21,0.624,Male,,,3,,Pvt Ltd,never,218,0
16814,City_No_16,0.91,Male,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
19249,City_No_103,0.92,Male,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0
9475,City_No_28,0.939,Male,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0
4865,City_No_114,0.926,Male,Phd,STEM,>20,50-99,,>4,10,0
20881,City_No_28,0.939,Male,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,0
21563,City_No_21,0.624,,Masters,STEM,3,50-99,Pvt Ltd,1,36,0
25114,City_No_102,0.804,,Masters,STEM,6,10/49,Pvt Ltd,1,17,0
26002,City_No_16,0.91,Male,Graduate,STEM,2,,,never,80,1
8528,City_No_160,0.92,Male,Graduate,STEM,>20,50-99,Public Sector,>4,108,0
6141,City_No_103,0.92,Male,Graduate,STEM,2,100-500,Pvt Ltd,2,45,0
27667,City_No_103,0.92,Male,Graduate,STEM,5,,,never,77,0
2821,City_No_114,0.926,Male,Masters,STEM,15,100-500,Pvt Ltd,2,8,0
21216,City_No_173,0.878,,Graduate,STEM,5,,,1,28,0
25495,City_No_142,0.727,Female,Graduate,STEM,9,100-500,Funded Startup,>4,37,0
20791,City_No_16,0.91,,Graduate,STEM,2,,,2,108,1
28015,City_No_103,0.92,Male,Graduate,STEM,13,500-999,Pvt Ltd,2,162,0
10685,City_No_73,0.754,,High School,,9,,,>4,41,0
405,City_No_165,0.903,Male,Masters,STEM,19,100-500,Pvt Ltd,4,4,0
13891,City_No_71,0.884,Female,Phd,STEM,3,1000-4999,Public Sector,1,41,0
33050,City_No_165,0.903,,Graduate,STEM,17,10000+,Pvt Ltd,2,12,0
399,City_No_103,0.92,Male,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,0
8202,City_No_21,0.624,,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,1
8751,City_No_103,0.92,Male,Graduate,STEM,6,100-500,Public Sector,1,11,0
20744,City_No_103,0.92,Male,High School,,3,10000+,Pvt Ltd,1,30,0
25380,City_No_103,0.92,Male,Masters,STEM,13,100-500,,>4,39,0
24617,City_No_102,0.804,Male,High School,,9,,,1,16,0
12509,City_No_114,0.926,Male,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,0
25473,City_No_26,0.698,Male,High School,,8,,,never,39,0
13083,City_No_114,0.926,Male,Masters,STEM,10,50-99,Pvt Ltd,>4,29,0
12454,City_No_21,0.624,,Masters,STEM,4,50-99,NGO,2,210,0
3500,City_No_103,0.92,Other,High School,,6,50-99,Funded Startup,1,54,0
15922,City_No_160,0.92,Male,Graduate,STEM,9,50-99,Pvt Ltd,3,44,0
6685,City_No_16,0.91,Male,Graduate,STEM,15,,,>4,47,0
28838,City_No_103,0.92,Male,Graduate,STEM,>20,1000-4999,NGO,>4,74,0
24082,City_No_21,0.624,Male,Masters,STEM,6,10/49,Pvt Ltd,1,8,1
24846,City_No_21,0.624,,Graduate,STEM,7,,,never,20,1
1020,City_No_103,0.92,Male,Graduate,STEM,3,500-999,Pvt Ltd,1,162,0
6189,City_No_36,0.893,,Graduate,Business Degree,2,50-99,Pvt Ltd,1,110,0
16994,City_No_46,0.762,Other,High School,,3,10/49,Pvt Ltd,1,262,0
13135,City_No_138,0.836,Male,Masters,STEM,14,,,1,6,0
14578,City_No_64,0.6659999999999999,Male,Graduate,STEM,9,10/49,Pvt Ltd,1,19,1
20732,City_No_64,0.6659999999999999,Other,Graduate,STEM,>20,50-99,Pvt Ltd,>4,23,1
16496,City_No_21,0.624,Male,Graduate,STEM,<1,,,1,107,1
16537,City_No_136,0.897,Male,Masters,STEM,15,10000+,,>4,134,0
17358,City_No_114,0.926,Male,Masters,STEM,11,10/49,Early Stage Startup,1,40,0
21933,City_No_71,0.884,Male,Graduate,STEM,12,50-99,Pvt Ltd,1,11,0
7342,City_No_160,0.92,Male,Graduate,STEM,11,,,3,102,0
5630,City_No_21,0.624,Male,Graduate,STEM,2,,,never,100,0
24152,City_No_83,0.923,Male,Masters,STEM,3,10000+,Pvt Ltd,never,30,0
17762,City_No_103,0.92,,High School,,5,,,1,20,1
4310,City_No_103,0.92,,Graduate,STEM,14,1000-4999,Pvt Ltd,3,4,0
5142,City_No_16,0.91,,Primary School,,5,,,never,15,0
22319,City_No_21,0.624,Male,Graduate,STEM,<1,,,1,14,1
30912,City_No_83,0.923,Male,Primary School,,1,,Pvt Ltd,never,103,0
20976,City_No_160,0.92,Male,Graduate,STEM,5,1000-4999,Public Sector,2,40,0
13150,City_No_16,0.91,Male,Phd,STEM,>20,100-500,Pvt Ltd,2,27,0
12206,City_No_114,0.926,Male,High School,,10,100-500,Pvt Ltd,>4,46,0
9407,City_No_114,0.926,Male,High School,,7,50-99,Pvt Ltd,>4,110,0
13152,City_No_103,0.92,Male,Graduate,STEM,13,50-99,Funded Startup,1,96,0
1069,City_No_103,0.92,,Graduate,STEM,5,10000+,Pvt Ltd,2,57,0
25418,City_No_160,0.92,Male,Graduate,STEM,6,,,1,240,0
22689,City_No_98,0.949,Male,Graduate,STEM,4,50-99,Funded Startup,4,42,0
5104,City_No_75,0.939,Male,Masters,STEM,7,,,1,16,1
13994,City_No_12,0.64,Male,Graduate,STEM,>20,50-99,Pvt Ltd,never,40,1
27064,City_No_103,0.92,Male,Graduate,STEM,5,100-500,Funded Startup,2,94,0
14598,City_No_37,0.794,,Graduate,STEM,9,5000-9999,Pvt Ltd,1,160,0
9571,City_No_173,0.878,Male,Graduate,STEM,10,10/49,Early Stage Startup,1,25,0
30854,City_No_43,0.516,Male,Graduate,STEM,9,<10,Early Stage Startup,1,11,0
25290,City_No_173,0.878,,High School,,<1,100-500,Pvt Ltd,1,29,0
29640,City_No_90,0.698,Male,Graduate,STEM,8,,,1,23,0
17519,City_No_142,0.727,Male,Graduate,STEM,10,10/49,Pvt Ltd,2,113,0
12111,City_No_73,0.754,,Graduate,STEM,15,,,2,56,0
6085,City_No_104,0.924,Male,Graduate,STEM,2,,,1,39,1
27277,City_No_103,0.92,,Graduate,STEM,2,1000-4999,Pvt Ltd,1,20,0
31692,City_No_160,0.92,Male,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,0
6052,City_No_103,0.92,Male,Masters,STEM,>20,<10,Pvt Ltd,>4,56,0
18161,City_No_145,0.555,,Graduate,STEM,4,,,1,106,0
12934,City_No_114,0.926,Male,Graduate,STEM,19,500-999,Pvt Ltd,2,64,0
30400,City_No_73,0.754,Male,Graduate,STEM,5,10000+,Pvt Ltd,1,51,0
26419,City_No_67,0.855,Female,Graduate,STEM,6,1000-4999,Pvt Ltd,2,41,0
4188,City_No_103,0.92,,Graduate,STEM,20,100-500,Pvt Ltd,>4,150,0
12117,City_No_74,0.579,Male,Graduate,STEM,4,10/49,Pvt Ltd,1,320,0
28847,City_No_136,0.897,Male,Masters,STEM,7,,,never,20,0
30472,City_No_21,0.624,Male,,,4,1000-4999,Pvt Ltd,1,9,1
32534,City_No_102,0.804,Male,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,0
22395,City_No_21,0.624,Male,Masters,STEM,3,,Public Sector,1,129,1
4876,City_No_67,0.855,Female,Masters,STEM,10,,,1,42,0
25182,City_No_61,0.913,,High School,,2,100-500,Pvt Ltd,never,58,0
26135,City_No_103,0.92,Male,High School,,3,,,1,126,1
7517,City_No_103,0.92,,High School,,4,,,1,45,1
2793,City_No_83,0.923,Male,Graduate,STEM,>20,10/49,Pvt Ltd,>4,166,0
25174,City_No_61,0.913,Male,Graduate,STEM,2,50-99,Pvt Ltd,1,110,0
5593,City_No_103,0.92,Male,Graduate,STEM,>20,,,1,37,0
14003,City_No_102,0.804,Female,Graduate,STEM,2,,,1,95,1
33057,City_No_103,0.92,Male,Graduate,STEM,>20,,,>4,29,1
30484,City_No_114,0.926,Male,Masters,STEM,>20,50-99,Pvt Ltd,>4,31,0
14688,City_No_116,0.743,Male,Masters,STEM,11,50-99,Pvt Ltd,>4,97,0
25459,City_No_114,0.926,Male,Primary School,,3,,,never,16,0
23657,City_No_103,0.92,Male,Primary School,,4,,,never,14,0
20322,City_No_102,0.804,Male,Phd,STEM,>20,100-500,Pvt Ltd,>4,206,0
22194,City_No_103,0.92,Female,Graduate,STEM,2,10/49,Funded Startup,1,204,0
31401,City_No_103,0.92,Male,Masters,STEM,18,10000+,Pvt Ltd,2,116,0
14914,City_No_102,0.804,,Masters,STEM,16,100-500,Pvt Ltd,4,161,0
20376,City_No_160,0.92,Male,Graduate,STEM,>20,,,>4,25,1
27530,City_No_103,0.92,,Graduate,STEM,18,500-999,Pvt Ltd,>4,94,0
24701,City_No_103,0.92,,Graduate,STEM,15,10000+,Pvt Ltd,>4,16,0
6790,City_No_90,0.698,Male,Masters,STEM,15,,,1,100,0
10102,City_No_103,0.92,Male,Graduate,STEM,20,10000+,Pvt Ltd,never,107,0
10338,City_No_157,0.769,Male,Masters,STEM,11,,,1,17,0
15701,City_No_16,0.91,Male,Graduate,STEM,10,<10,Pvt Ltd,1,140,0
21218,City_No_75,0.939,Male,Graduate,Humanities,3,10000+,Pvt Ltd,2,75,0
1586,City_No_75,0.939,,High School,,6,,,1,59,0
9189,City_No_23,0.899,,High School,,6,50-99,,1,146,0
13788,City_No_93,0.865,,,,3,,,never,302,0
10752,City_No_67,0.855,Female,Masters,STEM,9,100-500,Pvt Ltd,2,42,1
28406,City_No_103,0.92,,Graduate,No Major,14,,Pvt Ltd,1,131,0
26320,City_No_94,0.698,,High School,,9,,,4,74,0
